city_id	city_name	state_code	country_code	lat	lon
3833794	Tres Isletas	3	AR	-26.34067	-60.43207
3833859	Tres Arroyos	1	AR	-38.37394	-60.27978
3833883	Trelew	4	AR	-43.24895	-65.30505
3834502	Termas de Río Hondo	22	AR	-27.49362	-64.85972
3834601	Tartagal	17	AR	-22.51637	-63.80131
3834813	Tafí Viejo	24	AR	-26.73201	-65.25921
3834971	Sunchales	21	AR	-30.94404	-61.56148
3835793	Santo Tomé	21	AR	-31.66274	-60.7653
3835869	Santiago del Estero	22	AR	-27.79511	-64.26149
3835994	Santa Rosa	11	AR	-36.61667	-64.28333
3836194	Santa Lucía	18	AR	-31.53987	-68.49503
3836277	Santa Fe de la Vera Cruz	21	AR	-31.63333	-60.7
3836564	San Salvador de Jujuy	10	AR	-24.19457	-65.29712
3836620	San Ramón de la Nueva Orán	17	AR	-23.13705	-64.32426
3836669	San Rafael	13	AR	-34.61772	-68.33007
3836772	San Pedro	10	AR	-24.23127	-64.86614
3836846	San Nicolás de los Arroyos	1	AR	-33.33578	-60.22523
3836873	San Miguel de Tucumán	24	AR	-26.82414	-65.2226
3836951	San Martín de los Andes	15	AR	-40.15789	-71.35337
3836992	San Martín	13	AR	-33.08103	-68.46814
3837056	San Luis	19	AR	-33.29501	-66.33563
3837124	San Justo	21	AR	-30.78913	-60.59189
3837213	San Juan	18	AR	-31.5375	-68.53639
3837240	San José de Jáchal	18	AR	-30.24057	-68.74693
3837441	San Jorge	21	AR	-31.89618	-61.85984
3837675	San Francisco	5	AR	-31.42797	-62.08266
3837702	San Fernando del Valle de Catamarca	2	AR	-28.46957	-65.78524
3838233	Salta	17	AR	-24.7859	-65.41166
3838506	Rufino	21	AR	-34.26827	-62.71262
3838583	Rosario	21	AR	-32.94682	-60.63932
3838793	Río Tercero	5	AR	-32.17301	-64.11405
3838797	Río Segundo	5	AR	-31.6526	-63.9099
3838859	Río Gallegos	20	AR	-51.62261	-69.21813
3838874	Río Cuarto	5	AR	-33.13067	-64.34992
3838902	Río Ceballos	5	AR	-31.16486	-64.32241
3839307	Rawson	4	AR	-43.30016	-65.10228
3839479	Rafaela	21	AR	-31.25033	-61.4867
3839490	Quitilipi	3	AR	-26.86913	-60.21683
3839982	Punta Alta	1	AR	-38.87588	-62.07359
3840092	Puerto Madryn	4	AR	-42.7692	-65.03851
3840300	Presidencia Roque Sáenz Peña	3	AR	-26.78522	-60.43876
3840860	Pocito	18	AR	-31.68333	-68.58333
3840885	Plottier	15	AR	-38.96667	-68.23333
3841490	Pergamino	1	AR	-33.88995	-60.57357
3841500	Pérez	21	AR	-32.99835	-60.76791
3841956	Paraná	8	AR	-31.73197	-60.5238
3842190	Palpalá	10	AR	-24.25647	-65.21163
3842670	Olavarría	1	AR	-36.89272	-60.32254
3842881	Nueve de Julio	1	AR	-35.44437	-60.88313
3843123	Neuquén	15	AR	-38.95161	-68.0591
3843619	Morteros	5	AR	-30.71164	-61.99862
3843803	Monteros	24	AR	-27.16741	-65.49832
3844421	Mendoza	13	AR	-32.89084	-68.82717
3844899	Marcos Juárez	5	AR	-32.6978	-62.10672
3845330	Machagai	3	AR	-26.92614	-60.04955
3014383	Guéret	75	FR	46.16667	1.86667
3846864	Lincoln	1	AR	-34.86649	-61.5302
3846915	Libertador General San Martín	10	AR	-23.80644	-64.78757
3848687	Las Breñas	3	AR	-27.08966	-61.08161
3848950	La Rioja	12	AR	-29.41105	-66.85067
3851331	La Falda	5	AR	-31.08841	-64.48987
3852374	La Calera	5	AR	-31.34377	-64.33529
3852468	Laboulaye	5	AR	-34.12662	-63.39119
3853354	Junín	1	AR	-34.58382	-60.94332
3853491	Joaquín V. González	17	AR	-25.08333	-64.18333
3853510	Jesús María	5	AR	-30.98153	-64.09424
3854895	Granadero Baigorria	21	AR	-32.85683	-60.71754
3854985	Gobernador Gálvez	21	AR	-33.03016	-60.64045
3855041	General Villegas	1	AR	-35.03285	-63.01252
3855065	General Roca	16	AR	-39.03333	-67.58333
3855074	General Pinedo	3	AR	-27.31667	-61.28333
3855075	General Pico	11	AR	-35.65662	-63.75682
3855116	General Enrique Mosconi	17	AR	-22.59588	-63.81255
3855244	Gálvez	21	AR	-32.02927	-61.22103
3855554	Firmat	21	AR	-33.45937	-61.4832
3855666	Famaillá	24	AR	-27.05413	-65.40329
3855974	Esquel	4	AR	-42.91147	-71.31947
3856022	Esperanza	21	AR	-31.4488	-60.93173
3856231	Embarcación	17	AR	-23.21003	-64.09965
3856235	Embalse	5	AR	-32.18	-64.41809
3858765	El Bolsón	16	AR	-41.96051	-71.53336
3859384	Diamante	8	AR	-32.06641	-60.63837
3859512	Deán Funes	5	AR	-30.42036	-64.34984
3859552	Cutral-Có	15	AR	-38.93424	-69.23052
3859828	Cruz del Eje	5	AR	-30.72644	-64.80387
3859904	Crespo	8	AR	-32.02873	-60.30658
3859965	Cosquín	5	AR	-31.24508	-64.46563
3860164	Coronel Suárez	1	AR	-37.45467	-61.93343
3860217	Coronda	21	AR	-31.97263	-60.91983
3860259	Córdoba	5	AR	-31.4135	-64.18105
3860443	Comodoro Rivadavia	4	AR	-45.86413	-67.49656
3861056	Cipolletti	16	AR	-38.93392	-67.99032
3861061	Cinco Saltos	16	AR	-38.82225	-68.06293
3861344	Chivilcoy	1	AR	-34.89566	-60.01667
3861416	Chimbas	18	AR	-31.48333	-68.53333
3861445	Chilecito	12	AR	-29.16195	-67.4974
3861678	Charata	3	AR	-27.21438	-61.18795
3861953	Chacabuco	1	AR	-34.64167	-60.47389
3862144	Centenario	15	AR	-38.82955	-68.1318
3862240	Caucete	18	AR	-31.65179	-68.28105
3862254	Catriel	16	AR	-37.87907	-67.7956
3862320	Castelli	3	AR	-25.94679	-60.61947
3862351	Casilda	21	AR	-33.04417	-61.16806
3862655	Carcarañá	21	AR	-32.85679	-61.15331
3862738	Capitán Bermúdez	21	AR	-32.82262	-60.71852
3862981	Cañada de Gómez	21	AR	-32.81636	-61.39493
3863379	Caleta Olivia	20	AR	-46.43929	-67.52814
3864331	Bell Ville	5	AR	-32.62591	-62.68873
3864375	Bella Vista	24	AR	-27.03424	-65.30196
3865086	Bahía Blanca	1	AR	-38.71959	-62.27243
3865385	Arroyo Seco	21	AR	-33.15489	-60.50863
3865424	Arroyito	5	AR	-31.42022	-63.05002
3865840	Añatuya	22	AR	-28.46064	-62.83472
3866163	Alta Gracia	5	AR	-31.65292	-64.42826
3866242	Allen	16	AR	-38.97736	-67.82714
3866367	Alderetes	24	AR	-26.81667	-65.13333
3866425	Albardón	18	AR	-31.43722	-68.52556
3866496	Aguilares	24	AR	-27.4338	-65.61427
6693230	Villa Santa Rita	7	AR	-34.61082	-58.481
7116866	Villa Mercedes	19	AR	-33.67571	-65.45783
7647007	San Carlos de Bariloche	16	AR	-41.14557	-71.30822
10172104	Adrogué	1	AR	-34.80041	-58.38384
5881576	Pago Pago	10	AS	-14.27806	-170.7025
2760910	Wolfsberg	2	AT	46.84056	14.84417
2761353	Wiener Neustadt	3	AT	47.8	16.25
2761369	Vienna	9	AT	48.20849	16.37208
2761524	Wels	4	AT	48.16667	14.03333
2761669	Weinzierl bei Krems	3	AT	48.4	15.6
2762372	Villach	2	AT	46.61028	13.85583
2763423	Traun	4	AT	48.22656	14.23459
2763460	Traiskirchen	3	AT	48.01485	16.29324
2763795	Ternitz	3	AT	47.71565	16.03575
2764359	Steyr	4	AT	48.04274	14.42127
2764786	Spittal an der Drau	2	AT	46.8	13.5
2765388	Schwechat	3	AT	48.13333	16.46667
3014392	Guérande	52	FR	47.32911	-2.42829
2766429	Sankt Pölten	3	AT	48.2	15.63333
2766824	Salzburg	5	AT	47.79941	13.04399
2766922	Saalfelden am Steinernen Meer	5	AT	47.42681	12.848
2771335	Mödling	3	AT	48.08605	16.28921
2991772	Morlaix	53	FR	48.58333	-3.83333
2772173	Lustenau	8	AT	47.42642	9.65851
2772400	Linz	4	AT	48.30639	14.28611
2772635	Leonding	4	AT	48.27965	14.2533
2772649	Leoben	6	AT	47.3765	15.09144
